,molecule_chembl_id,EC50,units,smiles,pEC50
57,CHEMBL4439796,58200.0,nM,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4C[C@H](n5cnc6c(N)nc(Cl)nc65)O[C@@H]4COP(=O)(O)O[C@@H]2[C@@H]3O)c(=O)[nH]1,4.235077015350112
58,CHEMBL4526526,63700.0,nM,CNc1ncnc2c1ncn2[C@@H]1O[C@@H]2COP(=O)(O)O[C@@H]3[C@H](O)[C@@H](COP(=O)(O)O[C@H]2[C@H]1O)O[C@H]3n1cnc2c(=O)[nH]c(N)nc21,4.195860567664649
59,CHEMBL4578839,66400.0,nM,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@@H]4[C@@H](COP(=O)(O)O[C@@H]2[C@@H]3O)O[C@@H](n2ccc3c(N)ncnc32)[C@@H]4O)c(=O)[nH]1,4.1778319206319825
60,CHEMBL4449584,70100.0,nM,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@@H]4[C@@H](COP(=O)(O)O[C@H]3[C@H]2O)O[C@@H](n2cnc3c(N)ncnc32)[C@@H]4O)c(=O)[nH]1,4.154281982033341
61,CHEMBL4438957,70700.0,nM,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(S)O[C@@H]4[C@@H](COP(=O)(S)O[C@@H]2[C@@H]3O)O[C@@H](n2cnc3c(N)ncnc32)[C@@H]4O)c(=O)[nH]1,4.150580586203101
62,CHEMBL4566174,75400.0,nM,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4C[C@H](n5cnc6c(N)ncnc65)O[C@@H]4COP(=O)(O)O[C@@H]2C3)c(=O)[nH]1,4.122628654130226
63,CHEMBL4465931,107500.0,nM,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@@H]4[C@@H](COP(=O)(O)O[C@@H]2[C@@H]3O)O[C@@H](n2cnc3c(N)ncnc32)[C@@H]4N)c(=O)[nH]1,3.9685915357483754
64,CHEMBL4517384,148800.0,nM,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@@H]4[C@@H](COP(=O)(O)O[C@@H]2[C@@H]3O)O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@@H]4O)c(=O)[nH]1,3.82739706879014
65,CHEMBL4586305,182100.0,nM,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@@H]4[C@@H](COP(=O)(O)O[C@@H]2[C@@H]3O)O[C@@H](n2cnc3c(=S)[nH]cnc32)[C@@H]4O)c(=O)[nH]1,3.73969005420508
66,CHEMBL1231573,184200.0,nM,Nc1nc2c(ncn2[C@@H]2O[C@@H]3CO[P@](=O)(O)O[C@@H]4[C@@H](COP(=O)(O)O[C@H]3[C@H]2O)O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@@H]4O)c(=O)[nH]1,3.73471037413917
67,CHEMBL4444544,186800.0,nM,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4[C@H](O)[C@H](n5cnc6c(N)nc(F)nc65)O[C@@H]4COP(=O)(O)O[C@@H]2[C@@H]3O)c(=O)[nH]1,3.7286231281059257
68,CHEMBL4591097,240600.0,nM,Nc1nc2c([C@@H]3O[C@@H]4COP(=O)(O)O[C@@H]5[C@@H](COP(=O)(O)O[C@@H]3[C@@H]4O)O[C@@H](n3cnc4c(N)ncnc43)[C@@H]5O)scc2c(=O)[nH]1,3.618704376996174
